ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC12003266.hg.1,TC12003266.hg.1,-2.3837182928457876,2.165148145597643e-74,1.017944400652732e-71,6.6023480964390755,8.986066389284863
TC0X001065.hg.1,TC0X001065.hg.1,-0.9058193918447914,2.533084095325945e-74,1.181087094959497e-71,7.694681633339338,8.60050102518413
TC09000828.hg.1,TC09000828.hg.1,-1.6181186323263343,2.580727808256588e-74,1.1837357844408144e-71,6.849591345102983,8.467709977429317
TC14000636.hg.1,TC14000636.hg.1,-1.9682122530279154,2.568348673821201e-74,1.1837357844408144e-71,6.313889661322286,8.282101914350202
TC02001471.hg.1,TC02001471.hg.1,-3.2479378016168923,2.664894601564104e-74,1.2124840615406744e-71,6.394932579114874,9.642870380731766
TC14000908.hg.1,TC14000908.hg.1,-1.5817916867962127,2.754562364634023e-74,1.2432551959033785e-71,7.102841809283617,8.68463349607983
TC06003050.hg.1,TC06003050.hg.1,-2.9906257259496263,2.9516321172075434e-74,1.3216284189572635e-71,4.436596218098842,7.427221944048468
TC01003661.hg.1,TC01003661.hg.1,-4.379973102248195,3.4265017585551106e-74,1.5221761906626947e-71,3.4946354128385275,7.874608515086723
TC03000733.hg.1,TC03000733.hg.1,-1.1255167122388254,3.492684182476287e-74,1.5394551266167748e-71,6.659446135230886,7.7849628474697115
TC03002902.hg.1,TC03002902.hg.1,-1.2696235485837546,3.990317229886666e-74,1.7427209178509078e-71,6.254319486578993,7.523943035162747
